from,to,price,outgoing_start,incomming_arrival,night_in_dest,link,dest_id
Budapest,Barcelona,61,2024-11-15T06:50:00.000Z,2024-11-18T23:00:00.000Z,3,https://www.kiwi.com/deep?affilid=mihalytest&currency=EUR&flightsId=0b7701af4e4a0000d1387127_0%7C01af0b774e4d00001dac0462_0&from=BUD&lang=en&passengers=1&to=BCN&booking_token=Hg0lOBOnKadjQFAYgoPZ319ZVXcKwPNFgVx19r0UBvQj7RrcptYkE6cCnCKL-FZnb1L4ltNBa623rk7Tt_Om0voiw_sH7zloH63LdduNwnblDAdpLPjMsEx1mi6eQZYDVg_zDuSyrgxN45bQ40H14Tg20tADVEdbjFa9TzpPJT3CFUHZbLfrBfvihFCEtKA_OiZec325JVlbNBOnfD14V8IQDVIAp9bZToWV3sjcvHqEh0_6Ic6q6PWBgE1cEgJyXaDUmFPQfCcHSFpmCrS5kauEkkateqXAdvYpsDUBRCHoeZN8nsgTtBEuY1MCQXs-aGbhwYj0ZdM2UV_6hNr0VeAa1T7PY2WkCFfK7mmXAA2vxQ98QAxxsFD0KRXVbjha4Rgjgx4oYs8TH7XNZk5FrypD0vFfdgw1N7RQ8Qffpb5o5iGAcJAtX4aNgpfkTb-V_Tz4Povj2SP0m7uqyP6p_EBohdz2ztReexw9doQ7193pEKQAbqXFq6ByNV9rAGXMIJDRoNoZoe8lmj5rePVIn442pnVrFFjmrFCAMOR1ua_H0JHu4R3QYUpII9tceSuQNNjb_erzZ9eisYKdS1X7uuUG1MHd36bu5U8euiTyOhe0HhunDsD58_t4IKYy2NTGYXwYGQMROUvItWCLFzsTGGfUYT6SsdmH_36oSfORmc2MgyZHQvZBA6pGt03gyIhFhU80UQ1YaqA6IETXJ6KO5Y7h6QWQ88P6SF1sAQIBG4ZY=,BCN
Budapest,Barcelona,61,2024-11-15T06:50:00.000Z,2024-11-21T22:40:00.000Z,6,https://www.kiwi.com/deep?affilid=mihalytest&currency=EUR&flightsId=0b7701af4e4a0000d1387127_0%7C01af0b774e50000096dfc035_0&from=BUD&lang=en&passengers=1&to=BCN&booking_token=HbsOqAcJjTwFFVheIwmazldyq4tjROC8lx4wMgMJ3wuqNT8nQ7ZrVMqozjoVR9AKtrT-sA3XoG_1_dUnEs7zTyICqRU792UjLASpHES85kqjw_oUwwd-TCcFabE-ZlRI_9LiqlFC0OUEX2C66ZKX3Cyb2HVvFqsfCzwXr74Upoc0fEGVk0tDbY1JWpzpmWb6sWf7H8SBdsP6CcJMldwTcEhub_9BwDjUE20XuZEoTPXRpJK3emnbJhO7CaOO-PQhR5ZSNw-qR1OntTnpEimTAfFks0KPnGVKp6G6iCoy_hN0Kv1lYGHb3xSZ0n48ow4wLWkBDWeJ3p5JJU-vYHP-w3HWgJQdqzxx7lAWuAOJ9MMRWnvfyQMcMfconxxkRhmEhOHwFSVJBhSmYQta6QeGMhFlCMmVnNPfcpISrSksIkkpp1i4dNbrG9d5cUtEOLJEOE2bJIKAbeYSlw5nVxuLuUdRP2EUIRJr57qdZUNlcDR2ZMq5QApjlHDw48nFBKTYjp4fGrVHOLyeFeUP1S5alMUB2ukzY_V0CLrQi8RO5zgAgYdJ4P3R-S1mc0V_rOCj3eep4UDkDElC23hJ_9f-G3HgCL_qtPfEbZHfuGbqhVbMBchteL6ugUN9sWoK2YffkSOlHmd1p1XhrN3GbB9kcJ1h51c_uAxASgl7HLcLD4KLA7M98YX9KlEf7oEmRjNuMUfCaZkghusypGHtG931W7w==,BCN
Budapest,Barcelona,61,2024-11-13T16:50:00.000Z,2024-11-18T23:00:00.000Z,5,https://www.kiwi.com/deep?affilid=mihalytest&currency=EUR&flightsId=0b7701af4e4800009ea17294_0%7C01af0b774e4d00001dac0462_0&from=BUD&lang=en&passengers=1&to=BCN&booking_token=H3Kc2Ui-nBTczFnAmLpptM6PuH5ZDfU124EQR4YvOy6Qgu5XRKmrj-6x87EpQQF2-Wvbw6GcHxytTDRFDBdm5ca8VPXK1kVajURlrBRGo1aZ9IRRU1jDRv6kcgbsRWYBHAFTHai66Ym1o9iu-G9oT4Hi2SZPw4hf4Ynk3IEUcbNf5NaUjFUsKOR0jdwxrgBOaE_IxIN2BhWpNdPqmq_Gn9NWScAyLxjuGGfTWCeVXWNpgTwGTsuOQI3CeMR9PpPTdQ-T9csh7RkFUEXjGawNyjl6TWtcWOtDaAjRUHZaZMX8M1HqQvtkq25BltK3kOY7mY3E6q80_cIKNgKMl_zZ-bK3J25AyTOJIKx8vgOF-aae9zRvBR_nZPc6JMxKrt_N9w_Wh1uLgiRqS-RfZv3BHTmgmAUQ7C_nsaes3FyFNQwUIL2CpuIJgTIzpebF6NqgljSgW5YK1oLhdreX9qDO0tKq8dpdZb-kNYhod4UnuuRrG_zDXKZDgFDKvz1-EqAbk0jn977PF-cg6NFPeFk8hEfj4pjb7b31rTjlYCyCDCCEJaYwhCO7abcN1wjg35rnGNzsnBtG6fKjDkTtX7wVlOSvzgmBkO3ImpdHW779g1o6JEE8Gjqxg7ym86VlxudyYR6THYNINiiUYY76OvnxE4GSRPNDmixsnwEchmFjrf9hlm4zas_etrsQfY4eliCVbZIX2znVKIGo9cB9Jh2YDyMbP5MG_MzUNhLdjfz2Nh9k=,BCN
Budapest,Barcelona,61,2024-11-12T16:00:00.000Z,2024-11-18T23:00:00.000Z,6,https://www.kiwi.com/deep?affilid=mihalytest&currency=EUR&flightsId=0b7701af4e470000457b1a42_0%7C01af0b774e4d00001dac0462_0&from=BUD&lang=en&passengers=1&to=BCN&booking_token=HnGLCivQ72p-SD0NCz15I3fX4peh-njobUOCTyzBkAaVINEkCz8TwVkIPEiHvRdS_G4Yg-c0o5VaUvVyk8tD-vvaM6yuUqiZv2Zt8g3sY1RA7mcYrexE8NItCOGuNEMNAGwAMGTYXMwFf84xXgjWEyBxhwEX5GmNieIfa6MVVZj-559oXf10OygjDUxzD9yLX5PXifHMxxvO5KyF-nKRpFrhcBQGmhPrTq3E2G-PM_3PqwSnQOeHI9ApI55SNCFEMJlPoQAZwxc6_G17lANbt5t8MNFNY6Gh6CuQVKBd65y1C-g-c9gN3R_X1mBdqXtssHd0Ml7dROKNDnmahJqRTtMJOigAGJVcKXyupAeFpW7TTx0QsngMb90pBapf9-4iMrHamw3l0sVcssKAkH6igs6_OP8ILVKlawYyGQUHSM6xcwgH2J7lj8TCm8teUqyotzHmC8X2BxNX0ftksmBYyNLTnZDG0kknbFcjSpdEsVXBf0Vtd9ScmjSplrNnGYJgnBglkEa1Y3a9DVrAvL8tf40xYY0QTSZ1qQqvxH1GtEYqmgZc8kAHSIUFZpq9Gg9e53Pyf9suQbF0y4BcAgJvSeeZJ89tnIK2XtYF7GSwGtNNW7o3p-1VcPL3hMdtkou6GLf0HqdJdcHi7fc7eXvwGEo3xxXlrVdJ5-EjuaA2ublN79d1-gclLy8glDYUUz9iAkL4VNlUa5fvL9wHpWcIgQzoli0mUj6fb-ax3KO4oOnc=,BCN
Budapest,Barcelona,63,2024-11-18T06:50:00.000Z,2024-11-18T23:00:00.000Z,0,https://www.kiwi.com/deep?affilid=mihalytest&currency=EUR&flightsId=0b7701af4e4d00004789d15d_0%7C01af0b774e4d00001dac0462_0&from=BUD&lang=en&passengers=1&to=BCN&booking_token=HhKhoQdO0g4xupFZSh3We9ZaJ80_aFnfkocpYcy9VwI9Kb9Gy-7Q5pS9SKaMbwYAgFmlhzl5bFI62xTwC2ropl-fh7N7KWXwQZiIa29xdg3lW8SIb9m1m3Y1IRTj1JG7YV39Z5pMnsxSh8kv3sjLpcNiblDeqONOwvQeLLtZLsmkxeQSTHvj0oN5ecFOKqGJWNz0ru5TzspKgm9EQdwyq7mx9I80-LhXIOY02ZIPwr6sRPBIVgsxmkqq10WcqlnrpcwALOG3XTPwBGAaSXEZ-s7Cmv6qkqfkK90KLUvjAJYJwlTyRtz-8FMCZ0dT-6Dib-ekHgt9bdv_1ICqeiMa_TYMYt5sqUUXTRGabcxVmXJyLnh9ZSuKf3oumCw4O5bEHNHP8MQ-GJiMM3ktGooznL_ltHc-oYseQ58UK0uOM9KvtgLZ3Z51CIV4ZkeBYT_G_GF7F4F67gXstxdzV_HngF94dSRxWjKs60SvdtmJHAwXeX5Kb7FTv2YCmc4Ony27aIJNHy_CNXI3djWfRKlclNoKYmary6uAZVuB39AeBqzoAVeqF4uwuYbfFOTG9bwQ1WkEbo7CYMYxNx56Pq9ijZsXVsGVoYalk6k-yke256WSWY_VZ6Cxn4EbwBPkIitVPgLWFTtIVrgGRx10DvPBAr6BlZCYc_q575pmxCK3f20LXS0nPJFmJfh_b2ktPt5QPzGkZ918A8cf76FuxrEIdpg==,BCN
Budapest,Barcelona,63,2024-11-17T06:50:00.000Z,2024-11-18T23:00:00.000Z,1,https://www.kiwi.com/deep?affilid=mihalytest&currency=EUR&flightsId=0b7701af4e4c00003e922e75_0%7C01af0b774e4d00001dac0462_0&from=BUD&lang=en&passengers=1&to=BCN&booking_token=H_PY9WKiKaiYBiPGbYXvUTTXtaDFTrs4ltdbFCyD46U4AoeMhZxM3fNluVfsew2UZIi1oPF8Kk9zLF4284H4vNwHC0PSm3cS6XQUO4C7CGSO8YgEraLOA-Y0mMf8ht78gP5ycKG2J_odg0j8tFAKHKtKQnevVO9z9e8do9ZbcGb5rfX2NET_Z7FVdFg2XmJy7jAFi7TTiLMDC5AEjUGl_ok_6O5fMlvidBPla-M7ePsX7h9w9uckyWkWxuyJJuFJjR9v-vp1vNp_w72iMQOVB_aCKs49u2jNKkAwLGQXLR4l-WzW3bN2Tc6X-SdkX3n3UTC8BQKQj8gmYJZnPcI_htry_G2vVTkvD71GyMZbPQ935BTMXZvFg-3ZD98nVYfNWwkl1E8uCuPmTVwSkGgXgLBk6Fx0Ix-IwjYmAukv6c1yL8DhaX4n6xmKxxPIiXImcmJdQuBx7HiqEyEXCUOTQS44gpUA450RmsUFAOFGKCuFBd2iNcCKfwu85O-bk7nFWFOx9belVJbyVOm9e6oBzXv_40sfkjdK2tF82zVrriyhz7TGscUzWpVDW_yZ5r79HmjVCIs5TXm2HGqIjfsNWvexb53V3FtpHuTiS-bQ8VxXQpZKaIwx8JGBpdLFe4uuot1zWE7P8L8bfPGw9b3JRM69iwpVCh9D5FclidYEFNvbq6z1BnNJ3n2C8wqtLP9LulkGNeANFIPK7gIkl9oBYEozZYZGOO5l60jaVhHLiZXI=,BCN
Budapest,Barcelona,63,2024-11-18T06:50:00.000Z,2024-11-21T22:40:00.000Z,3,https://www.kiwi.com/deep?affilid=mihalytest&currency=EUR&flightsId=0b7701af4e4d00004789d15d_0%7C01af0b774e50000096dfc035_0&from=BUD&lang=en&passengers=1&to=BCN&booking_token=HxcPcKzeJ2ndeKyCw1A0EK1vF9FoWK2CItooeYZwyxRKnITa5rUTWw8DWKs-dz8NDXS3r-lsjjd6ZBkiU7fYdGVVF2t3RMGsFVvtJ-ChcNExnHHNJwVoGoFKStrG5X8ERABBBR9JufzJF4QFah7pBvYM5c4Y-qQl5kKuCjezPMptjKLvGPXKnn3BY2vtTdqaMzBTEahraf00BK6dqmMYmB7cvMqsKq59iY4Ylkdyv0HUI6KjlAplFLcCW9UkK8usmguLjy2ZDWiejOPwYFaxMwC6tZrtUjvF5kGNzi3WG1VAyTCfF75_sIfOwFPxsIZe1u7DmWjXYmTnJcGyXrGgA9_xorh1gyUuq4C0F13nhGZ0AseN1IaMWXptXyhDC5F8PtJFql9Np5cg7gea_RHE46sOo60Ueg_9bear_JgBoQigy7BIzAIguTuq0GLNIQh4TuIYKH0lFEjYS_kTt_HDVtLdjTesUPV8RwsFqkxtvK5WY6nA2IqMEePFab0m3ifjZJ0gQxzqETEzrUDIQ1X861qmgQz96aLdSNsdLFKiu1aQGREEePPbW9z4IJmpCCvo96j_S-Ioql3m6iTrNJwIaxV8xeAAU_5KvqR8z28gVyc73XOhQVMm6lntsSH7Y4FtuQkqSbl3PxHlRjBtJOpxo4hedOxfLQIqXfBWvKFe1eetOyjeinvNyXDYoLzSRgqt4OHkp6ymzM3NN8q79JHR9tg==,BCN
Budapest,Barcelona,63,2024-11-17T06:50:00.000Z,2024-11-21T22:40:00.000Z,4,https://www.kiwi.com/deep?affilid=mihalytest&currency=EUR&flightsId=0b7701af4e4c00003e922e75_0%7C01af0b774e50000096dfc035_0&from=BUD&lang=en&passengers=1&to=BCN&booking_token=HRy45-Q6WvhMK1WgMrSog2N-qN3PReIB_mYw0pKrWgUFlsJ2xHiBPEBtTI6Z5lFMlLyb9Z7w9AXxeVVCwI1XRqs0lqfaXSsgAJmr9FGBxa32JF3_BpOk7YK9--mqIgRGcUdJEpgsCyLJNDqSi-0NOBipOrOEdor54ylfOf_pomckdq9Go9fkFluVAf8-fKqlAFr3-pKqw_3gIDx6liKnPSzFJq9UhnD3iBLFuPynbhNlEa4pndWD2IB7vQZhbxav5uzWGmh1mrff4rMgFDvOv2cMXWeKly5nelDazF09HuuKiKv3rLkEf4Zg7a7iD4gcduH5AZGnuxtQ8utvWLPXzeUboEiHRR8acKBzRjl5ztlHG1CwMgDqZ3SPSeji7bwE_vqPj1LUm7nLSfP5k3BD6Rc78gelWtkCzIB1At4HF9gtZvkQWYTXyG-OqBKTJvFEPbHOTELkL5pplI2b7FIdXwj68AP6i1RZ7YJ223-S1ASocILkwFY7HqBXFxGgws5NEjXGuJc7nPpO6tw4VSiu29Z7OgrMNxRZZjSi301jsUFZjNul2nTaUP21bh9lH7Pq6Kq2Ouu9-ufbLnRMrmtYS46CtaBPwZGXE8VkKiKPK_lAlmIrsVbzh5z87dJYa4HhRQ4dowF9iMB1Hq2NUfu-RxGfVxqNPwBgndvi_aDlq2qRE8Sb0_5znxTNXJK3_NbDIR0DQa3Oz1pie6_F-_NY4nw==,BCN
Budapest,Barcelona,63,2024-11-15T06:50:00.000Z,2024-11-19T12:20:00.000Z,4,https://www.kiwi.com/deep?affilid=mihalytest&currency=EUR&flightsId=0b7701af4e4a0000d1387127_0%7C01af0b774e4e0000a8ef50c6_0&from=BUD&lang=en&passengers=1&to=BCN&booking_token=Hhc-YaGOiTI6S73VZU0elg3WrGOyayb1Zu_ScXGymVRvHBd8qhgsFQff3r8_6RnE0va6ym7gwlzvGYXznSkGwoHPEuuYU4hsDfKsmeklaj7xsgI0WkGRxmWWOs0YzHPK3DFFJSyzs4gdd2levkY92oCEdzk0hMS4ZHbh__0jnarejTgUkc05C0PWfTY09obcgwW9sgej-GhOeMApy1yIfMP7p70qFydqF8cnzgAjzp-I1u_zbB2XB-iBndJCZLrEW2MLBTSopV1kr6Mp9NWEM_tJQpAp3J9vWeGAVOObSL9wE38ZRtyNcslNFmshd8iM4ihTK6hQtRNVJ50vnb8ANeh-M5ACE6GykJQnj2yVZUc5JjPJ8X9_RazOOnZReFzBI7BMR0iZ6H2qlUBXKXgv3c4ItNx9mkwsHWfNXUrf4p9vmfoY7paLhDV9v5Z1mwdtSvRBKkmsDXxBWKUDIlniceeVJSoVCq0KEbPjAfy4Lwytgq54ZU3OZ-4mGVitlhhEVHQxhpdLkLv-hneX0TmoF_mS8oPCke5Ewy2lReBCH0sFO0cCQ1lR59q8Nf6_zizn10vhvd2KtMm1kdcpwPvEeEDfvMeA9FcDKyw12Ax2TXYmIkAKysmRFa8CMfbYuaEpwZQc5BD-8d-eZRyAGiQ-CyIqlH3GVGaBNBrC3qAtQdJh8nRNCAB8G6cbmua4ZhvNS-b2VG1JVG5cyu-_XBUiVGw==,BCN
Budapest,Barcelona,63,2024-11-15T06:50:00.000Z,2024-11-16T12:20:00.000Z,1,https://www.kiwi.com/deep?affilid=mihalytest&currency=EUR&flightsId=0b7701af4e4a0000d1387127_0%7C01af0b774e4b000026931643_0&from=BUD&lang=en&passengers=1&to=BCN&booking_token=HA_4ANBIkl8q5YkH38p2RCZ5EDpvVmdFig8fGFKRimXDNwMPUnRy9Gx2NzHUXqScjo047DCnAQgWwkFK7i-jh_jWIN4l6t-xiqKvQ0a0IcLsWOYZqCg65PEmLzDAod9OBgjz394fJ-VeLHsUexhMBizozjYdsUemGTYdBUQzWqSxYU3fFibkb4UupEZZTU1XVEGXOnOmc-m20JCLzvlxEtkF_F6PYQDCjtJu5lxIPFvUaXWswVSZWmsOx9jczOlgP61vYhVLMlQBevl8QPDI3Qkq7JsY9BcSSTxEdUWe3imjn88JqY4vkZaDTwX2Kmec8DVD0BkILqen3Bx_t-4D2lEW8jeSj-V-lJHLE7_YsoE5DrM7VNhWjej0zmRZJLtHGQYoGfCv3SNh22xcAiRsMQi6htLmzABjjFqWdCSoADE4ys_PZtAKKZzdUlf_F8RyouLyc2ogNrUMGF0v8oq-ZbYrefR2-bsgcgBrtRFBxUsY9UUZ9Yg37kUy_a_013FQHB7bRJ9JMY8j-a79bh9hl9w0CtDNWzxuBsgjiqOOW6i3yTYtxz9HVTT0ezuV-tjg6b998wQw4uKxXu56P84ojkdLC6QeERjzM2MDgRjCP8mw5f0WN1gnftepP9PdCMcknkHQr-wuGlaVS5SK2cLdUn_p7uI9LqNzQwC0F5Yf2T-3U1ophxprQ-6xGveh5RBGKQ0tIJtVd-h5BZbFGBGAL7g==,BCN
